make,category,year,transmission,color,fuel,engine_size,mileage,price
Volkswagen,Hatchback,1999,automatic,green,petrol,2196,233544,14101
Audi,SUV,2010,manual,grey,diesel,2835,221520,10983
Honda,Coupe,2005,manual,white,petrol,2196,172908,2709
Mercedes-Benz,Sedan,2016,automatic,red,petrol,2000,95515,14722
Hyundai,SUV,2008,automatic,green,petrol,2000,128055,7906
Mercedes-Benz,SUV,2019,manual,blue,diesel,2213,88660,36517
Toyota,SUV,2008,automatic,white,petrol,2606,178170,3720
Lexus,Coupe,2019,CVT,blue,hybrid,2213,50508,34466
Honda,Hatchback,2013,manual,green,diesel,2213,179430,5766
Lexus,Sedan,2016,manual,green,petrol,2295,57841,26312
Volkswagen,Hatchback,1999,manual,black,petrol,2213,346008,15050
Mercedes-Benz,Coupe,2014,automatic,blue,petrol,2475,116307,12909
Porsche,Convertible,1997,manual,red,petrol,1983,364182,76077
Toyota,Sedan,2015,manual,white,petrol,2000,87528,6922
Porsche,Coupe,2017,manual,blue,petrol,2295,50070,93103
Mercedes-Benz,Minivan,2017,automatic,green,petrol,2967,57696,28620
Honda,Sedan,2007,manual,red,petrol,2213,181648,4105
Mercedes-Benz,Minivan,2015,manual,silver,diesel,2786,208496,18127
Volkswagen,Sedan,2010,manual,black,diesel,1836,380068,8033
Volkswagen,SUV,2013,manual,white,diesel,2213,292780,12413
Volvo,Sedan,2011,manual,silver,petrol,1721,137292,1534
Kia,Sedan,2008,manual,grey,petrol,1500,188340,6112
Audi,Sedan,1993,automatic,white,diesel,2000,840600,55357
Honda,SUV,2018,manual,blue,diesel,2196,141280,29664
Toyota,Sedan,2002,manual,white,petrol,2213,249522,18561
Audi,SUV,2017,automatic,green,diesel,2786,146988,25651
Lexus,Sedan,2012,CVT,green,hybrid,1500,111430,6276
Audi,SUV,2011,manual,white,petrol,2606,172212,19332
Audi,Sedan,2012,automatic,black,diesel,1836,189937,4578
BMW,Hatchback,2019,manual,white,petrol,2000,34140,28912
Honda,Sedan,2008,automatic,blue,petrol,2000,196455,10829
Mercedes-Benz,Hatchback,2015,manual,black,petrol,2213,108688,14930
Toyota,Pickup,2009,automatic,green,hybrid,2803,143080,27063
Volvo,Convertible,2006,automatic,black,diesel,1606,464236,28565
Mercedes-Benz,Convertible,2019,manual,red,diesel,1500,119568,37863
Lexus,Sedan,2004,CVT,blue,hybrid,2295,229311,8293
Honda,Coupe,1994,automatic,blue,diesel,1606,771516,25381
Kia,SUV,2019,automatic,blue,petrol,2213,51524,25552
Volkswagen,Hatchback,2015,manual,red,petrol,1983,72432,7292
Mercedes-Benz,Wagon,2010,automatic,green,petrol,2000,176137,18176
FIAT,Convertible,2015,manual,red,diesel,2000,163104,15710
Honda,Coupe,2005,manual,grey,petrol,2196,266958,2478
Hyundai,Sedan,2019,manual,blue,petrol,1606,54316,17771
Honda,Sedan,2007,automatic,silver,diesel,2475,352336,7005
Volkswagen,Sedan,2019,automatic,blue,petrol,1836,46492,20751
Honda,Sedan,2018,manual,black,petrol,2213,50720,18298
Kia,SUV,2010,automatic,blue,petrol,2213,110240,8604
Porsche,Coupe,1994,manual,grey,petrol,1606,314447,58600
Mercedes-Benz,Sedan,1998,manual,red,petrol,1836,329300,33617
BMW,SUV,2015,manual,white,diesel,2606,211168,10229
Toyota,Coupe,2002,manual,silver,diesel,2196,573153,5814
Honda,Hatchback,1995,manual,green,diesel,1606,743876,27985
Kia,Sedan,2019,manual,white,petrol,1836,58776,23117
Audi,Sedan,1994,automatic,red,diesel,1836,621499,48028
Volvo,Sedan,2011,automatic,black,petrol,1500,109404,2033
Lexus,Convertible,2010,CVT,green,hybrid,1606,116181,3735
Hyundai,SUV,2015,manual,silver,petrol,2786,89424,14048
Audi,Sedan,2007,manual,green,diesel,1983,358640,27152
Ferrari,Coupe,2018,automatic,black,petrol,1836,42370,129028
Mercedes-Benz,Wagon,2011,automatic,green,petrol,2557,148704,11523
Lexus,SUV,2002,CVT,blue,hybrid,2835,302673,68560
Kia,Minivan,2016,automatic,red,petrol,2967,92337,14799
Volvo,Sedan,1992,manual,green,petrol,1836,405108,36915
Kia,Sedan,2016,manual,red,petrol,1983,95172,11714
Toyota,SUV,1993,manual,grey,petrol,2213,385230,33754
Honda,Coupe,1999,automatic,black,petrol,2295,213096,28905
Kia,Minivan,2007,manual,black,diesel,2786,365408,1870
Audi,Sedan,2006,automatic,green,petrol,1983,147135,5053
Audi,Sedan,2015,manual,black,petrol,1836,80256,10642
Ferrari,Coupe,2011,manual,silver,petrol,1500,148080,75670
Ferrari,Coupe,2011,manual,grey,petrol,1721,169692,123498
Kia,Minivan,2003,automatic,silver,petrol,1836,183200,38127
Toyota,SUV,2013,automatic,silver,petrol,2475,95860,9111
Toyota,Pickup,2017,CVT,blue,hybrid,2803,61818,49358
Audi,Sedan,2012,manual,blue,diesel,1721,209847,18759
Porsche,Convertible,2015,manual,silver,petrol,1983,107976,145273
Mercedes-Benz,Coupe,1998,manual,blue,diesel,2295,607175,46413
Ferrari,Coupe,2006,manual,white,petrol,1836,227324,30074
Ferrari,Coupe,2015,manual,silver,petrol,2295,108600,84809
Kia,Sedan,2003,automatic,blue,diesel,1721,500520,10726
Volkswagen,SUV,2015,manual,black,diesel,2835,234656,13412
Volkswagen,Hatchback,2004,automatic,red,diesel,2475,331284,18118
Honda,Minivan,2018,manual,white,petrol,2803,43025,24719
Volkswagen,SUV,2017,manual,grey,diesel,2475,136458,18449
Toyota,Wagon,2010,automatic,black,diesel,1500,254787,7289
Volkswagen,Minivan,2002,manual,white,diesel,2967,561603,10643
Toyota,SUV,2003,manual,white,diesel,2557,408700,19826
Hyundai,Hatchback,2018,CVT,red,hybrid,2213,54005,21317
Toyota,Sedan,2017,CVT,white,hybrid,2475,87984,16991
McLaren,Convertible,2016,manual,blue,petrol,2196,91630,140490
Toyota,Pickup,2011,CVT,grey,hybrid,2295,107796,36649
Mercedes-Benz,SUV,2010,automatic,black,petrol,1983,119951,5647
Volkswagen,Hatchback,2004,manual,black,petrol,2295,216942,3646
Toyota,Pickup,2009,CVT,grey,hybrid,2196,167160,27978
Hyundai,Coupe,2010,automatic,grey,diesel,1836,343889,5534
Porsche,SUV,2014,automatic,red,petrol,2803,73080,87710
Honda,Minivan,1996,manual,grey,petrol,2967,267246,55859
Hyundai,SUV,2007,manual,silver,petrol,2606,135360,13627
Volvo,SUV,2008,manual,blue,petrol,2213,158745,5845
Mercedes-Benz,SUV,2016,manual,white,diesel,2835,125230,33170
BMW,Hatchback,2000,automatic,grey,diesel,2295,649474,6334
Volkswagen,Wagon,2018,automatic,silver,diesel,2000,86110,20584
Honda,Pickup,2019,manual,black,petrol,2557,39332,36265
Toyota,Pickup,2019,CVT,grey,hybrid,2606,42264,56691
BMW,Coupe,2008,manual,white,diesel,2295,297555,16213
Volvo,Sedan,2011,manual,grey,petrol,2000,176976,8577
Volkswagen,Hatchback,2004,automatic,green,diesel,2475,438691,1472
Toyota,Hatchback,2013,manual,black,petrol,2196,114630,6103
Toyota,SUV,2011,automatic,white,petrol,2803,109512,15767
Honda,Minivan,2003,automatic,red,diesel,2295,579980,19528
Lexus,SUV,1997,automatic,silver,petrol,2557,368784,18999
Kia,Sedan,2011,manual,red,diesel,1721,350784,4212
Honda,SUV,2008,automatic,grey,petrol,2803,158025,22126
Honda,Hatchback,2000,automatic,black,petrol,1836,256611,8366
Volvo,Wagon,2018,manual,blue,diesel,2196,143930,38637
Volkswagen,Sedan,1995,automatic,red,petrol,2196,397040,12084
Toyota,Pickup,2011,CVT,black,hybrid,2213,96924,3009
Mercedes-Benz,Coupe,2017,automatic,white,petrol,1836,78282,29190
Mercedes-Benz,Coupe,1993,manual,red,diesel,2196,516210,30581
Audi,Coupe,2011,manual,white,petrol,1606,129936,6779
Honda,SUV,2011,manual,white,petrol,2295,120168,15751
BMW,Sedan,2009,manual,black,diesel,1500,307832,17191
Porsche,SUV,2006,manual,green,petrol,2835,157199,50492
Mercedes-Benz,Sedan,2005,automatic,white,diesel,2295,484596,5152
Hyundai,SUV,2007,automatic,white,diesel,1836,435472,7166
Hyundai,Sedan,2020,manual,grey,diesel,2475,52053,27021
Volvo,Wagon,2004,manual,blue,diesel,2000,433181,45109
FIAT,Hatchback,2017,manual,green,diesel,1983,135240,11525
Lexus,Sedan,1997,CVT,white,hybrid,2000,385060,77714
Ferrari,Coupe,2014,manual,grey,petrol,2475,101475,74396
Toyota,Sedan,2013,manual,green,diesel,2295,291000,0
Honda,Sedan,2014,manual,grey,diesel,1983,220122,5353
Ferrari,Coupe,2018,automatic,blue,petrol,1721,40535,122468
Kia,SUV,2008,manual,silver,petrol,2557,150960,16247
Lexus,Sedan,2013,manual,black,petrol,1721,145560,0
Toyota,Sedan,2019,automatic,red,diesel,2475,112204,22139
Audi,Sedan,2015,automatic,white,petrol,1606,86624,12776
Hyundai,SUV,2014,manual,white,diesel,1983,234270,18080
Hyundai,Sedan,2006,automatic,white,petrol,1836,246874,4056
BMW,Coupe,2007,manual,grey,diesel,1500,392080,6136
Audi,Sedan,2018,manual,silver,diesel,1721,85935,31806
Hyundai,Sedan,1998,manual,white,diesel,2295,431725,33225
Hyundai,Sedan,2007,manual,silver,petrol,1836,227776,18507
Porsche,Coupe,2007,manual,silver,petrol,2475,142784,70704
Porsche,Coupe,2016,manual,black,petrol,2000,65583,81280
Volvo,SUV,2017,manual,red,petrol,2475,77814,41075
Honda,Minivan,2012,manual,blue,diesel,2967,198594,421
Honda,Hatchback,2008,manual,silver,diesel,1836,290640,5570
Honda,SUV,2007,manual,grey,diesel,2213,462672,13738
BMW,SUV,2015,automatic,white,petrol,2803,98000,32246
Honda,Coupe,1992,manual,black,diesel,1836,542097,35992
BMW,Sedan,2002,manual,white,petrol,1836,254667,2671
Toyota,Sedan,2019,CVT,red,hybrid,1721,40592,26824
Honda,Hatchback,2007,manual,black,petrol,2295,228704,3108
Volvo,Wagon,2011,manual,blue,diesel,2295,310332,10153
Volvo,SUV,2007,manual,blue,diesel,2835,449824,12437
Kia,SUV,2009,manual,red,petrol,2213,200172,9652
Ferrari,Convertible,2016,manual,silver,petrol,1836,91462,94392
Lexus,Sedan,2008,automatic,silver,petrol,1606,199920,5784
Hyundai,Hatchback,2003,manual,white,petrol,2475,185400,14916
Hyundai,Sedan,2017,manual,silver,diesel,1500,110664,17121
Honda,Pickup,2010,manual,red,diesel,2196,258258,6161
BMW,Coupe,2014,manual,white,petrol,1606,118368,3653
BMW,SUV,2006,automatic,white,diesel,2295,503676,7114
Volkswagen,Hatchback,2008,automatic,red,diesel,1836,418350,13417
Lexus,SUV,2013,manual,white,petrol,2213,111630,31300
Toyota,Minivan,2003,manual,silver,petrol,2196,299600,36438
Volkswagen,Hatchback,2007,manual,green,diesel,2000,399376,4679
Toyota,Sedan,2010,manual,black,diesel,2475,279201,10349
Honda,Sedan,2005,manual,green,petrol,1836,229932,2652
Audi,Wagon,2009,manual,green,diesel,2606,371966,14672
Volkswagen,Hatchback,2004,automatic,white,petrol,2295,152095,18298
Mercedes-Benz,Convertible,2013,automatic,blue,diesel,1606,183250,17386
Toyota,SUV,2017,manual,blue,diesel,2835,153510,18196
Honda,SUV,2014,manual,white,diesel,2213,260901,8183
Hyundai,SUV,2007,manual,silver,diesel,2606,367024,1954
BMW,SUV,2013,automatic,blue,diesel,2000,210660,14106
Volkswagen,Wagon,2004,manual,black,petrol,2295,214833,24777
Lexus,SUV,2013,CVT,black,hybrid,2196,141150,0
FIAT,SUV,2017,automatic,black,petrol,2475,57450,18354
BMW,Convertible,1999,automatic,white,diesel,2196,542232,64176
Mercedes-Benz,Sedan,2005,manual,blue,petrol,2000,157608,4518
Volvo,SUV,2006,manual,blue,diesel,2475,334917,1325
Hyundai,Sedan,2007,manual,blue,petrol,2213,201600,6100
Volvo,Sedan,2003,manual,black,diesel,1721,441060,31825
BMW,SUV,2015,manual,green,petrol,2295,77312,33909
Audi,Convertible,2008,automatic,white,diesel,1983,414135,13756
Kia,Sedan,2017,automatic,green,petrol,1500,57702,21273
Mercedes-Benz,Sedan,2013,automatic,grey,electric,1,119900,0
Audi,Sedan,2018,manual,blue,petrol,2000,71660,32379
FIAT,Hatchback,2016,manual,red,petrol,2000,72569,12092
Volvo,Sedan,2007,automatic,grey,petrol,1606,165072,23219
Kia,Sedan,2005,automatic,black,diesel,2475,454590,3338
Volvo,Convertible,2009,manual,blue,petrol,2213,136010,13829
Lexus,Sedan,2010,manual,black,petrol,2295,158860,1454
Hyundai,Hatchback,2016,manual,grey,diesel,2196,209265,8798
Audi,SUV,2015,manual,green,diesel,2557,144296,38481
Volkswagen,Sedan,2002,manual,silver,petrol,2295,243936,18027
Toyota,Pickup,2012,CVT,grey,hybrid,2786,139370,25639
Toyota,Sedan,2019,manual,green,diesel,2000,104896,23335
Lexus,SUV,2010,manual,black,petrol,2000,192803,22170
Audi,SUV,2009,manual,white,petrol,2835,202874,19037
Hyundai,SUV,2009,manual,black,petrol,1836,144578,12756
Volkswagen,Hatchback,2018,manual,black,diesel,2000,128070,15331
Honda,Minivan,1996,manual,blue,petrol,1836,343602,42707
BMW,SUV,2010,manual,red,petrol,2000,186771,23416
Honda,SUV,2020,automatic,green,diesel,2786,59814,24253
BMW,Coupe,2017,manual,blue,diesel,1606,113622,24701
BMW,SUV,2016,automatic,grey,petrol,2803,96810,40891
FIAT,SUV,2016,manual,white,petrol,2967,101367,15482
FIAT,Hatchback,2017,automatic,silver,petrol,2213,79464,19562
Honda,Sedan,2008,automatic,silver,petrol,2000,126525,6514
Volvo,Sedan,2019,manual,green,diesel,1606,78420,26041
Honda,Sedan,1994,manual,green,petrol,1983,318420,49980
Toyota,SUV,2019,manual,black,petrol,2000,40780,38656
Toyota,Pickup,2011,CVT,white,hybrid,2295,138156,7423
Lexus,SUV,2016,automatic,blue,petrol,2803,56987,34532
Toyota,SUV,2018,automatic,grey,hybrid,2835,59685,44190
Mercedes-Benz,Convertible,2017,manual,white,petrol,2475,88728,31946
Volkswagen,Sedan,2019,manual,blue,diesel,1721,118904,24611
Kia,SUV,2008,automatic,grey,diesel,2475,373815,10391
Hyundai,Sedan,2003,automatic,blue,petrol,2196,219960,6162
Volkswagen,Sedan,2019,automatic,blue,diesel,1500,69052,20859
Mercedes-Benz,SUV,2018,automatic,silver,petrol,2803,42885,48296
Audi,SUV,2014,manual,white,petrol,2786,125154,9835
Honda,SUV,2018,manual,silver,petrol,1836,57375,16112
Volvo,Wagon,2014,manual,green,diesel,2295,215739,18592
Mercedes-Benz,Minivan,2018,manual,white,diesel,2295,110655,50548
Volkswagen,Hatchback,2015,manual,silver,petrol,2475,88160,10123
Volkswagen,Wagon,2017,automatic,green,petrol,1721,57006,12825
Mercedes-Benz,Sedan,2002,automatic,blue,electric,1,172158,21250
Audi,Sedan,2018,manual,white,diesel,2213,126915,31481
Audi,Sedan,1994,automatic,grey,petrol,2213,296583,29404
Mercedes-Benz,SUV,2010,manual,blue,diesel,2196,308477,18091
Lexus,SUV,2003,manual,green,petrol,2803,198420,19222
Audi,Sedan,2017,automatic,grey,petrol,1606,68520,37279
Toyota,Coupe,1993,manual,green,diesel,1500,655620,20098
Volkswagen,Hatchback,2001,manual,black,petrol,2196,264110,7914
Volvo,Sedan,2005,manual,grey,petrol,2295,261414,4294
Toyota,Minivan,2003,manual,grey,petrol,2786,205820,8779
Mercedes-Benz,SUV,2018,manual,blue,diesel,2295,100720,31640
Toyota,Pickup,2001,CVT,grey,hybrid,2803,195404,8655
Volvo,Sedan,2005,manual,black,petrol,1721,236358,5074
Lexus,Coupe,1995,manual,green,petrol,1836,330484,44699
Lexus,Sedan,2013,manual,grey,petrol,2000,123030,22411
Toyota,Hatchback,2017,manual,silver,petrol,2475,78540,20928
Honda,SUV,2008,automatic,white,petrol,2557,212115,9423
Mercedes-Benz,Minivan,2017,automatic,white,diesel,2967,141156,39645
Mercedes-Benz,SUV,2014,automatic,red,petrol,2196,81225,6329
Volvo,SUV,2005,manual,grey,petrol,2000,223200,33237
BMW,Sedan,2016,manual,grey,petrol,2295,95767,15438
Mercedes-Benz,Sedan,1992,manual,red,diesel,1836,639096,41672
Toyota,Hatchback,2017,automatic,black,petrol,2475,80370,14473
Lexus,Sedan,2008,automatic,green,petrol,1500,120405,20501
Toyota,Hatchback,2017,manual,silver,diesel,2475,126276,17899
Hyundai,Sedan,2013,manual,white,petrol,1721,95650,0
Hyundai,Hatchback,1997,manual,grey,diesel,2213,595062,8416
Toyota,SUV,2013,manual,silver,petrol,2295,87730,4391
Honda,Minivan,2000,manual,red,diesel,2803,602577,6368
Audi,Coupe,2017,automatic,silver,diesel,2000,131784,11410
Mercedes-Benz,Minivan,2013,automatic,red,diesel,2835,220010,32669
Kia,SUV,2014,automatic,grey,diesel,2475,269982,18001
Volkswagen,Hatchback,2004,automatic,white,petrol,1721,282226,1471
McLaren,Coupe,2016,manual,silver,petrol,2295,87570,61065
Volkswagen,Minivan,2000,automatic,blue,diesel,2000,610328,47478
Kia,Sedan,2020,automatic,silver,petrol,2213,30669,23401
Audi,SUV,2018,manual,grey,diesel,2803,115090,46797
Volkswagen,Hatchback,2015,automatic,blue,electric,1,79288,21148
Toyota,Hatchback,2015,manual,green,diesel,2295,178392,8043
Honda,SUV,2001,manual,blue,petrol,2557,319484,34773
Toyota,Pickup,2010,CVT,silver,hybrid,2557,144170,25292
Honda,SUV,2018,automatic,blue,diesel,2196,136280,24093
Toyota,Pickup,2010,manual,silver,petrol,2475,154544,19268
Volkswagen,Wagon,2016,automatic,silver,diesel,2967,174363,9684
Honda,Hatchback,1995,automatic,silver,diesel,1983,824208,11939
Audi,Sedan,2006,manual,green,diesel,2295,481644,14273
Audi,Convertible,2005,manual,grey,petrol,1983,212832,15291
Audi,Convertible,2019,manual,green,diesel,2213,87048,37898
Porsche,Coupe,2011,manual,green,petrol,2475,117960,56872
Audi,Coupe,2011,automatic,green,diesel,2295,226008,7041
Toyota,SUV,2020,automatic,green,diesel,2000,66345,26562
Toyota,SUV,2020,manual,grey,petrol,2835,41697,30938
Toyota,SUV,2008,automatic,grey,petrol,2786,168960,1746
Lexus,SUV,2006,manual,green,petrol,2803,227120,58367
BMW,Convertible,2012,manual,red,diesel,2475,205601,447
Tesla,Sedan,2018,automatic,green,electric,1,56310,67496
Hyundai,Sedan,2016,manual,silver,petrol,2475,72548,10884
Volvo,Wagon,2004,manual,white,petrol,2786,152570,34120
BMW,SUV,2012,manual,red,petrol,2803,156365,26925
Lexus,Sedan,1996,manual,red,petrol,1721,313956,39690
FIAT,Convertible,2019,automatic,red,petrol,1983,58444,24977
Volvo,Sedan,2011,automatic,blue,diesel,1500,291840,1553
Volvo,SUV,2017,manual,green,petrol,1983,58560,52554
Porsche,Coupe,2015,manual,blue,petrol,2295,71360,93232
Hyundai,Sedan,1992,manual,grey,petrol,2196,397048,47954
Audi,Sedan,1999,automatic,red,diesel,2295,647880,16168
Hyundai,SUV,2015,manual,grey,petrol,2295,74424,15590
Mercedes-Benz,Sedan,2017,manual,white,petrol,1983,61380,32219
Volvo,Convertible,2007,manual,blue,diesel,2475,284592,8570
Lexus,SUV,2010,CVT,blue,hybrid,2557,166621,18814
Toyota,Pickup,2011,CVT,black,hybrid,2835,115116,3809
BMW,Sedan,2010,manual,red,petrol,1721,109447,1729
Mercedes-Benz,Coupe,2015,automatic,black,diesel,1983,228176,10145
Audi,Sedan,1994,automatic,grey,diesel,2475,572083,66267
BMW,Sedan,2010,manual,blue,diesel,2000,254033,1986
Toyota,Pickup,1995,CVT,grey,hybrid,2786,378644,167001
BMW,Coupe,2002,manual,green,petrol,2295,204141,9817
Toyota,Pickup,2020,CVT,green,hybrid,2786,36924,86728
Volvo,Wagon,2008,manual,silver,petrol,1721,133185,18733
Honda,Sedan,2020,manual,white,petrol,2475,31065,20817
Kia,Wagon,2018,manual,grey,petrol,1606,50505,25342
Toyota,SUV,2007,manual,blue,diesel,2803,328336,6121
BMW,Sedan,2010,manual,red,diesel,1836,313664,8357
Toyota,Pickup,2006,CVT,white,hybrid,2196,228667,54186
Lexus,Sedan,2001,manual,white,petrol,2196,249524,14959
Ferrari,Coupe,2006,automatic,red,petrol,2000,241145,64441
Toyota,SUV,2020,CVT,silver,hybrid,1836,32043,51783
Porsche,Sedan,2015,manual,green,diesel,1721,166864,69357
Mercedes-Benz,Sedan,2004,manual,blue,diesel,1983,480776,2294
Kia,Sedan,2015,manual,grey,petrol,1983,79608,16398
Kia,SUV,2017,manual,black,petrol,2606,56886,17871
Toyota,Sedan,2020,manual,black,diesel,2213,54402,23115
Mercedes-Benz,Sedan,1992,manual,grey,diesel,2475,927892,29591
Toyota,SUV,2008,automatic,grey,petrol,2557,179370,14481
Hyundai,SUV,2019,manual,white,petrol,2475,34568,35499
Audi,Sedan,2016,manual,grey,petrol,1500,89138,13426
Ferrari,Convertible,2009,automatic,green,petrol,1983,152628,69662
Kia,SUV,2016,manual,grey,diesel,2835,204036,14253
Mercedes-Benz,SUV,2005,manual,green,petrol,2557,166374,7145
Toyota,Pickup,2006,CVT,blue,hybrid,2475,202776,51518
Lexus,Sedan,2006,manual,white,petrol,2295,223992,8051
Porsche,Coupe,2012,automatic,red,petrol,2196,110022,70245
Lexus,SUV,2011,CVT,silver,hybrid,2606,144168,6873
Mercedes-Benz,Convertible,2008,manual,green,petrol,2196,156195,2742
Lexus,Sedan,2019,automatic,white,petrol,1721,42224,27914
Kia,Sedan,2019,CVT,silver,hybrid,2475,37736,28118
Audi,Sedan,2013,automatic,red,diesel,2295,234890,18221
Volkswagen,Hatchback,2002,automatic,blue,diesel,2475,621222,6886
Audi,Sedan,2001,manual,blue,diesel,1606,575344,29675
BMW,Coupe,2013,manual,green,petrol,1721,149340,0
Honda,Sedan,2006,manual,grey,petrol,1721,161823,18370
Toyota,SUV,2011,manual,silver,diesel,2000,293112,3965
Mercedes-Benz,Sedan,2008,automatic,white,petrol,2213,176175,2014
Mercedes-Benz,Sedan,2010,automatic,grey,petrol,2196,149383,13636
Mercedes-Benz,Convertible,2008,automatic,green,petrol,2295,131490,2433
BMW,SUV,2010,manual,white,petrol,2557,117936,17847
Honda,Minivan,2020,manual,silver,diesel,2196,70641,38945
Lexus,Sedan,2012,manual,silver,petrol,2196,135025,4143
Ferrari,Hatchback,2017,manual,white,petrol,2000,52116,132475
BMW,Sedan,2001,automatic,white,diesel,2196,600292,52358
Mercedes-Benz,Convertible,2016,automatic,black,diesel,2196,128016,20765
Hyundai,Coupe,2007,manual,grey,diesel,1500,392176,7737
BMW,Sedan,2013,manual,red,petrol,2000,131570,15715
Mercedes-Benz,SUV,2019,automatic,grey,petrol,2803,49992,53309
BMW,SUV,2010,manual,grey,petrol,2803,123825,11926
Audi,Convertible,2013,manual,white,petrol,2295,80780,10875
Hyundai,SUV,2011,manual,blue,petrol,2557,128868,12912
FIAT,Hatchback,2014,manual,grey,diesel,1606,186147,9044
Honda,Sedan,1997,automatic,silver,diesel,2475,482118,34045
Lexus,Convertible,2003,automatic,black,hybrid,2000,178440,0
BMW,SUV,2011,automatic,grey,petrol,2835,123876,2824
Mercedes-Benz,Convertible,2019,manual,white,diesel,1721,97460,32577
Volkswagen,Convertible,2019,manual,blue,petrol,2213,40808,25317
Toyota,SUV,2010,manual,white,petrol,1836,128167,12684
Kia,Minivan,2008,automatic,grey,petrol,2786,196365,15184
Hyundai,SUV,2020,manual,green,diesel,2606,59853,29531
Volkswagen,Hatchback,2016,manual,blue,diesel,1721,200774,12103
Mercedes-Benz,Coupe,2006,automatic,blue,petrol,2213,229160,22007
Toyota,Minivan,2009,automatic,red,petrol,2835,164486,847
Toyota,SUV,1992,automatic,white,diesel,2835,780053,35505
Ferrari,Coupe,2016,manual,green,petrol,1500,79870,103887
Volkswagen,Sedan,2013,automatic,grey,petrol,2475,143110,2744
Mercedes-Benz,Sedan,2017,automatic,silver,petrol,1836,83898,17146
Volkswagen,Minivan,2009,automatic,silver,petrol,2835,195440,13775
Hyundai,SUV,2014,manual,green,petrol,2835,99306,8443
FIAT,Hatchback,2019,manual,grey,petrol,1606,38144,16863
BMW,SUV,2019,automatic,green,diesel,2835,108844,34409
Toyota,Wagon,2015,automatic,red,petrol,2196,80600,5263
Mercedes-Benz,Wagon,1992,manual,grey,diesel,1836,646071,72550
Hyundai,Hatchback,2009,manual,grey,diesel,2000,301966,454
Toyota,SUV,2002,manual,silver,diesel,1983,539973,50822
BMW,Sedan,1994,automatic,red,diesel,1606,595486,73217
Mercedes-Benz,Convertible,2018,manual,grey,petrol,1983,65005,38920
Kia,Sedan,2012,manual,white,petrol,1836,103301,3516
Volvo,Wagon,2017,manual,silver,diesel,2000,145218,26336
BMW,Sedan,2002,manual,black,petrol,1500,180684,2281
Audi,Sedan,2019,manual,blue,petrol,1500,59136,41302
Porsche,Coupe,2015,manual,grey,petrol,1500,73256,95276
Kia,Sedan,2001,manual,black,diesel,2475,396792,38408
Hyundai,Hatchback,2017,automatic,blue,electric,1,50724,19505
Audi,Wagon,1995,automatic,black,petrol,1836,313544,37607
Volvo,Wagon,2003,manual,silver,petrol,2786,227940,20311
Hyundai,SUV,2009,manual,grey,petrol,2803,156954,14560
Lexus,Sedan,1995,automatic,silver,petrol,1606,366660,83733
Kia,Wagon,2020,automatic,grey,diesel,2606,89754,28178
Kia,SUV,2004,automatic,green,petrol,2475,158897,5505
Volvo,Sedan,2003,manual,blue,diesel,2213,520600,38453
Honda,Coupe,2000,manual,blue,petrol,2000,196558,17982
Mercedes-Benz,Minivan,2018,manual,red,diesel,2000,134735,46313
Audi,SUV,2015,manual,silver,diesel,2606,208288,28272
Mercedes-Benz,Sedan,1998,automatic,red,electric,1,334825,46991
Volkswagen,Convertible,2012,automatic,red,petrol,2000,151404,3646
Toyota,Pickup,2016,manual,blue,petrol,2606,93219,35331
Volkswagen,Sedan,2010,manual,blue,petrol,1500,109538,1059
Kia,Wagon,2015,automatic,red,petrol,1606,79560,10004
Hyundai,Wagon,2011,manual,black,petrol,2196,163392,8740
Toyota,Minivan,1997,automatic,red,petrol,2967,362986,65702
BMW,Sedan,2015,manual,grey,petrol,1836,68968,23690
Toyota,Pickup,1997,CVT,green,hybrid,2967,319930,31740
Audi,Sedan,1993,automatic,white,petrol,2295,272010,81773
Toyota,Pickup,2018,CVT,grey,hybrid,2557,45365,60920
Lexus,SUV,2019,CVT,green,hybrid,2196,52956,41348
Mercedes-Benz,Sedan,2003,manual,grey,petrol,2196,165580,56528
Kia,SUV,2019,manual,black,diesel,1836,105200,38956
Toyota,Sedan,2004,manual,silver,diesel,1983,348023,3763
Volvo,Wagon,1995,manual,blue,petrol,2000,386988,71456
Volkswagen,Sedan,2000,manual,black,petrol,2475,254196,29258
BMW,Coupe,2007,automatic,black,petrol,2295,205920,12572
Volkswagen,Hatchback,2017,automatic,green,electric,1,74100,35869
Mercedes-Benz,SUV,2015,manual,white,diesel,2786,193896,13027
Volkswagen,Hatchback,2006,manual,green,diesel,1836,427125,19240
BMW,SUV,2019,manual,silver,petrol,1983,48932,31315
Volvo,Convertible,2007,automatic,white,petrol,2000,171136,35885
Mercedes-Benz,Coupe,2003,manual,black,diesel,2295,453900,30037
Toyota,Sedan,2001,manual,grey,diesel,1836,398288,36333
Toyota,Sedan,2002,manual,black,diesel,2213,422520,13578
Volkswagen,Hatchback,2005,automatic,grey,petrol,1500,218088,6500
Audi,Wagon,2003,manual,green,petrol,2786,271820,7072
Hyundai,SUV,2006,manual,silver,diesel,2196,462638,5464
BMW,SUV,2017,manual,silver,diesel,2606,134028,42959
Lexus,Sedan,2018,manual,blue,petrol,1836,41050,27816
Toyota,Coupe,2002,automatic,black,diesel,1500,599634,1049
Honda,Pickup,2006,automatic,red,diesel,2606,363188,20550
